code,R561H,number,name,lon,lat,dispensary
KGBI-KZB,0,21,Biharamulo (0%),31.68854,-2.81081,Kasozibakaya Dispensary
KGBR-BTU,0,35,Bukoba (0%),31.4592391,-1.51704147,Butulage Dispensary
KGKA-BKG,0.2279,136,Karagwe (22.8%),31.024048,-1.719344,Bukangara Dispensary
KGKY-RWB,0.1441,118,Kyerwa (14.4%),30.9061,-1.5079,Rwabwere Dispensary
KGMI-KYK,0,24,Missenyi (0%),31.42048,-1.25443,Kyaka Dispensary
KGMU-NSB,0,171,Muleba (0%),31.550163,-1.80332,Nshamba Health Center
KGNG-CVU,0.0139,144,Ngara (1.4%),30.59856,-2.49751,Chivu Dispensary
